ID/Name,TotalScore,Bin,RotationFlag(-1/0/+1),VandenBerg_AMR_Score(0-2),AMR_AgeResidual_Gyr(+=>younger),Krause_Score(-1/0/+1)
PAL12,2,Likely,0,2,2.16,0
NGC 104,1,Possible,0,0,,1
NGC 288,1,Possible,0,0,,1
NGC 362,1,Possible,0,0,,1
NGC 1261,1,Possible,0,0,,1
NGC 1851,1,Possible,0,0,,1
NGC 1904,1,Possible,0,0,,1
NGC 2298,1,Possible,0,0,,1
NGC 2808,1,Possible,0,0,,1
NGC 3201,1,Possible,0,0,,1
NGC 4833,1,Possible,0,0,,1
NGC 5053,1,Possible,0,0,,1
NGC 5272,1,Possible,0,0,,1
NGC 5286,1,Possible,0,0,,1
NGC 5897,1,Possible,0,0,,1
NGC 5904,1,Possible,0,0,,1
NGC 5927,1,Possible,0,0,,1
NGC 5986,1,Possible,0,0,,1
NGC 6093,1,Possible,0,0,,1
NGC 6101,1,Possible,0,0,,1
NGC 6139,1,Possible,0,0,,1
NGC 6205,1,Possible,0,0,,1
NGC 6254,1,Possible,0,0,,1
NGC 6304,1,Possible,0,0,,1
NGC 6352,1,Possible,0,0,,1
NGC 6366,1,Possible,0,0,,1
NGC 6535,1,Possible,0,0,,1
NGC 6584,1,Possible,0,0,,1
NGC 6637,1,Possible,0,0,,1
NGC 6715,1,Possible,0,0,,1
NGC 6838,1,Possible,0,0,,1
NGC 6934,1,Possible,0,0,,1
NGC 6981,1,Possible,0,0,,1
NGC 7089,1,Possible,0,0,,1
M68,1,Possible,0,1,0.78,0
M72,1,Possible,0,1,0.4,0
RUPRECHT106,1,Possible,0,0,,1
WHITING 1,0,Unlikely,0,0,,0
PAL 1,0,Unlikely,0,0,,0
AM 1,0,Unlikely,0,0,,0
ERIDANUS,0,Unlikely,0,0,,0
PAL 2,0,Unlikely,0,0,,0
NGC 2419,0,Unlikely,0,0,,0
KO 2,0,Unlikely,0,0,,0
PYXIS,0,Unlikely,0,0,,0
E 3,0,Unlikely,0,0,,0
PAL 3,0,Unlikely,0,0,,0
PAL 4,0,Unlikely,0,0,,0
KO 1,0,Unlikely,0,0,,0
NGC 4147,0,Unlikely,0,0,,0
NGC 4372,0,Unlikely,0,0,,0
RUP 106,0,Unlikely,0,0,,0
NGC 5139,0,Unlikely,0,0,,0
AM 4,0,Unlikely,0,0,,0
NGC 5634,0,Unlikely,0,0,,0
NGC 5694,0,Unlikely,0,0,,0
IC 4499,0,Unlikely,0,0,,0
NGC 5824,0,Unlikely,0,0,,0
PAL 5,0,Unlikely,0,0,,0
NGC 5946,0,Unlikely,0,0,,0
BH 176,0,Unlikely,0,0,,0
LYNGA 7,0,Unlikely,0,0,,0
PAL 14,0,Unlikely,0,0,,0
TERZAN 3,0,Unlikely,0,0,,0
1636-283,0,Unlikely,0,0,,0
NGC 6229,0,Unlikely,0,0,,0
FSR 1735,0,Unlikely,0,0,,0
NGC 6235,0,Unlikely,0,0,,0
NGC 6256,0,Unlikely,0,0,,0
PAL 15,0,Unlikely,0,0,,0
NGC 6266,0,Unlikely,0,0,,0
NGC 6273,0,Unlikely,0,0,,0
NGC 6284,0,Unlikely,0,0,,0
NGC 6287,0,Unlikely,0,0,,0
NGC 6293,0,Unlikely,0,0,,0
NGC 6316,0,Unlikely,0,0,,0
NGC 6325,0,Unlikely,0,0,,0
NGC 6333,0,Unlikely,0,0,,0
NGC 6342,0,Unlikely,0,0,,0
NGC 6356,0,Unlikely,0,0,,0
NGC 6355,0,Unlikely,0,0,,0
IC 1257,0,Unlikely,0,0,,0
TERZAN 2,0,Unlikely,0,0,,0
TERZAN 4,0,Unlikely,0,0,,0
HP 1,0,Unlikely,0,0,,0
LILLER 1,0,Unlikely,0,0,,0
NGC 6380,0,Unlikely,0,0,,0
TERZAN 1,0,Unlikely,0,0,,0
TON 2,0,Unlikely,0,0,,0
NGC 6402,0,Unlikely,0,0,,0
NGC 6401,0,Unlikely,0,0,,0
PAL 6,0,Unlikely,0,0,,0
NGC 6426,0,Unlikely,0,0,,0
DJORG 1,0,Unlikely,0,0,,0
TERZAN 5,0,Unlikely,0,0,,0
NGC 6440,0,Unlikely,0,0,,0
TERZAN 6,0,Unlikely,0,0,,0
NGC 6453,0,Unlikely,0,0,,0
UKS 1,0,Unlikely,0,0,,0
TERZAN 9,0,Unlikely,0,0,,0
DJORG 2,0,Unlikely,0,0,,0
NGC 6517,0,Unlikely,0,0,,0
TERZAN 10,0,Unlikely,0,0,,0
NGC 6522,0,Unlikely,0,0,,0
NGC 6528,0,Unlikely,0,0,,0
NGC 6539,0,Unlikely,0,0,,0
NGC 6540,0,Unlikely,0,0,,0
NGC 6544,0,Unlikely,0,0,,0
2MS-GC01,0,Unlikely,0,0,,0
ESO-SC06,0,Unlikely,0,0,,0
NGC 6553,0,Unlikely,0,0,,0
2MS-GC02,0,Unlikely,0,0,,0
NGC 6558,0,Unlikely,0,0,,0
IC 1276,0,Unlikely,0,0,,0
TERZAN 12,0,Unlikely,0,0,,0
NGC 6569,0,Unlikely,0,0,,0
BH 261,0,Unlikely,0,0,,0
GLIMPSE02,0,Unlikely,0,0,,0
NGC 6626,0,Unlikely,0,0,,0
NGC 6638,0,Unlikely,0,0,,0
NGC 6642,0,Unlikely,0,0,,0
PAL 8,0,Unlikely,0,0,,0
GLIMPSE01,0,Unlikely,0,0,,0
NGC 6712,0,Unlikely,0,0,,0
NGC 6749,0,Unlikely,0,0,,0
NGC 6760,0,Unlikely,0,0,,0
TERZAN 7,0,Unlikely,0,0,,0
PAL 10,0,Unlikely,0,0,,0
ARP 2,0,Unlikely,0,0,,0
TERZAN 8,0,Unlikely,0,0,,0
PAL 11,0,Unlikely,0,0,,0
NGC 6864,0,Unlikely,0,0,,0
NGC 7006,0,Unlikely,0,0,,0
PAL 12,0,Unlikely,0,0,,0
PAL 13,0,Unlikely,0,0,,0
NGC 7492,0,Unlikely,0,0,,0
ID,0,Unlikely,0,0,,0
47TUC,0,Unlikely,0,0,-0.65,0
XXXX,0,Unlikely,0,0,0.24,0
M53,0,Unlikely,0,0,0.3,0
M3,0,Unlikely,0,0,0.18,0
M5,0,Unlikely,0,0,0.24,0
M4,0,Unlikely,0,0,0.07,0
M107,0,Unlikely,0,0,-0.6,0
M13,0,Unlikely,0,0,0.02,0
M12,0,Unlikely,0,0,-1.26,0
M10,0,Unlikely,0,0,0.25,0
M92,0,Unlikely,0,0,0.12,0
M69,0,Unlikely,0,0,-0.09,0
M22,0,Unlikely,0,0,-0.35,0
M70,0,Unlikely,0,0,-0.69,0
M54,0,Unlikely,0,0,0.11,0
M56,0,Unlikely,0,0,-0.27,0
M55,0,Unlikely,0,0,-0.59,0
M71,0,Unlikely,0,0,0.17,0
M15,0,Unlikely,0,0,0.1,0
M2,0,Unlikely,0,0,0.35,0
M30,0,Unlikely,0,0,-0.15,0
ARP21,0,Unlikely,0,0,0.19,0
TER8,0,Unlikely,0,0,-0.14,0
NGC 4590,-1,Not_GC,0,0,,-1
NGC 5024,-1,Not_GC,0,0,,-1
NGC 5466,-1,Not_GC,0,0,,-1
NGC 6121,-1,Not_GC,0,0,,-1
NGC 6144,-1,Not_GC,0,0,,-1
NGC 6171,-1,Not_GC,0,0,,-1
NGC 6218,-1,Not_GC,0,0,,-1
NGC 6341,-1,Not_GC,0,0,,-1
NGC 6362,-1,Not_GC,0,0,,-1
NGC 6388,-1,Not_GC,0,0,,-1
NGC 6397,-1,Not_GC,0,0,,-1
NGC 6441,-1,Not_GC,0,0,,-1
NGC 6496,-1,Not_GC,0,0,,-1
NGC 6541,-1,Not_GC,0,0,,-1
NGC 6624,-1,Not_GC,0,0,,-1
NGC 6652,-1,Not_GC,0,0,,-1
NGC 6656,-1,Not_GC,0,0,,-1
NGC 6681,-1,Not_GC,0,0,,-1
NGC 6717,-1,Not_GC,0,0,,-1
NGC 6723,-1,Not_GC,0,0,,-1
NGC 6752,-1,Not_GC,0,0,,-1
NGC 6779,-1,Not_GC,0,0,,-1
NGC 6809,-1,Not_GC,0,0,,-1
NGC 7078,-1,Not_GC,0,0,,-1
NGC 7099,-1,Not_GC,0,0,,-1
TERZAN7,-1,Not_GC,0,0,,-1
PALOMAR12,-1,Not_GC,0,0,,-1
